一,一,一,1,AAA
丁,丁,丁,1,AAA
七,七,七,1,AAA
万,萬,万,3,ABA
丈,丈,丈,1,AAA
三,三,三,1,AAA
上,上,上,1,AAA
下,下,下,1,AAA
不,不,不,1,AAA
与,與,与,3,ABA
且,且,且,1,AAA
世,世,世,1,AAA
丘,丘,丘,1,AAA
丙,丙,丙,1,AAA
両,兩,两,5,ABC
並,並,並,1,AAA
中,中,中,1,AAA
丸,丸,丸,1,AAA
丹,丹,丹,1,AAA
主,主,主,1,AAA
久,久,久,1,AAA
乏,乏,乏,1,AAA
乗,乘,乘,4,ABB
乙,乙,乙,1,AAA
九,九,九,1,AAA
乱,亂,乱,3,ABA
乳,乳,乳,1,AAA
乾,乾,干,2,AAB
了,了,了,1,AAA
予,予,予,1,AAA
争,爭,争,3,ABA
事,事,事,1,AAA
二,二,二,1,AAA
互,互,互,1,AAA
五,五,五,1,AAA
井,井,井,1,AAA
亜,亞,亚,5,ABC
亡,亡,亡,1,AAA
交,交,交,1,AAA
享,享,享,1,AAA
京,京,京,1,AAA
亭,亭,亭,1,AAA
人,人,人,1,AAA
仁,仁,仁,1,AAA
今,今,今,1,AAA
介,介,介,1,AAA
仏,佛,佛,4,ABB
仕,仕,仕,1,AAA
他,他,他,1,AAA
付,付,付,1,AAA
仙,仙,仙,1,AAA
代,代,代,1,AAA
令,令,令,1,AAA
以,以,以,1,AAA
仮,假,假,4,ABB
仰,仰,仰,1,AAA
仲,仲,仲,1,AAA
件,件,件,1,AAA
任,任,任,1,AAA
企,企,企,1,AAA
伏,伏,伏,1,AAA
伐,伐,伐,1,AAA
休,休,休,1,AAA
会,會,会,3,ABA
伝,傳,传,5,ABC
伯,伯,伯,1,AAA
伴,伴,伴,1,AAA
伸,伸,伸,1,AAA
伺,伺,伺,1,AAA
似,似,似,1,AAA
但,但,但,1,AAA
位,位,位,1,AAA
低,低,低,1,AAA
住,住,住,1,AAA
佐,佐,佐,1,AAA
体,體,体,3,ABA
何,何,何,1,AAA
余,余,余,1,AAA
作,作,作,1,AAA
佳,佳,佳,1,AAA
併,併,併,1,AAA
使,使,使,1,AAA
例,例,例,1,AAA
侍,侍,侍,1,AAA
供,供,供,1,AAA
依,依,依,1,AAA
価,價,价,5,ABC
侮,侮,侮,1,AAA
侯,侯,侯,1,AAA
侵,侵,侵,1,AAA
便,便,便,1,AAA
係,係,系,2,AAB
促,促,促,1,AAA
俊,俊,俊,1,AAA
俗,俗,俗,1,AAA
保,保,保,1,AAA
信,信,信,1,AAA
修,修,修,1,AAA
俳,俳,俳,1,AAA
俵,俵,俵,1,AAA
俸,俸,俸,1,AAA
倉,倉,仓,2,AAB
個,個,个,2,AAB
倍,倍,倍,1,AAA
倒,倒,倒,1,AAA
候,候,候,1,AAA
借,借,借,1,AAA
倣,倣,仿,2,AAB
値,値,値,1,AAA
倫,倫,伦,2,AAB
倹,儉,俭,5,ABC
偉,偉,伟,2,AAB
偏,偏,偏,1,AAA
停,停,停,1,AAA
健,健,健,1,AAA
側,側,侧,2,AAB
偵,偵,侦,2,AAB
偶,偶,偶,1,AAA
偽,偽,伪,2,AAB
傍,傍,傍,1,AAA
傑,傑,杰,2,AAB
傘,傘,伞,2,AAB
備,備,备,2,AAB
催,催,催,1,AAA
債,債,债,2,AAB
傷,傷,伤,2,AAB
傾,傾,倾,2,AAB
働,,,0,ANN
像,像,像,1,AAA
僕,僕,仆,2,AAB
僚,僚,僚,1,AAA
僧,僧,僧,1,AAA
儀,儀,仪,2,AAB
億,億,亿,2,AAB
儒,儒,儒,1,AAA
償,償,偿,2,AAB
優,優,优,2,AAB
元,元,元,1,AAA
兄,兄,兄,1,AAA
充,充,充,1,AAA
兆,兆,兆,1,AAA
先,先,先,1,AAA
光,光,光,1,AAA
克,克,克,1,AAA
免,免,免,1,AAA
児,兒,儿,5,ABC
党,黨,党,3,ABA
入,入,入,1,AAA
全,全,全,1,AAA
八,八,八,1,AAA
公,公,公,1,AAA
六,六,六,1,AAA
共,共,共,1,AAA
兵,兵,兵,1,AAA
具,具,具,1,AAA
典,典,典,1,AAA
兼,兼,兼,1,AAA
内,内,内,1,AAA
円,圓,圆,5,ABC
冊,冊,冊,1,AAA
再,再,再,1,AAA
冒,冒,冒,1,AAA
冗,冗,冗,1,AAA
写,寫,写,3,ABA
冠,冠,冠,1,AAA
冬,冬,冬,1,AAA
冷,冷,冷,1,AAA
准,准,准,1,AAA
凍,凍,冻,2,AAB
凝,凝,凝,1,AAA
凡,凡,凡,1,AAA
処,處,处,5,ABC
凶,凶,凶,1,AAA
凸,凸,凸,1,AAA
凹,凹,凹,1,AAA
