一,一,一,1,AAA,"イチ, イツ","ひと〜, ひと·つ","かず, い, いっ, いる, かつ, かづ, てん, はじめ, ひ, ひとつ, まこと","one, one radical (no.1)","一つ (ひとつ): one<br>一番 (いちばん): number one, first, first place<br>一緒 (いっしょ): together<br>一人 (ひとり): one person<br>一昨年 (おととし): year before last",1,2
丁,丁,丁,1,AAA,"チョウ, テイ, チン, トウ, チ",ひのと,,"street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign","丁寧 (ていねい): polite, courteous, civil<br>包丁 (ほうちょう): kitchen knife, carving knife<br>丁目 (ちょうめ): district of a town, city block (of irregular size)",3,1312
七,七,七,1,AAA,シチ,"なな, なな·つ, なの","し, しっ, な, ひち",seven,七 (しち): seven<br>七つ (ななつ): seven,1,115
万,萬,万,3,ABA,"マン, バン",よろず,"かず, ま, ゆる","ten thousand, 10,000","万年筆 (まんねんひつ): fountain pen<br>万一 (まんいち): emergency, unlikely event<br>万歳 (ばんざい): crying ""banzai"" (or raising one's hands in the banzai gesture)<br>万能 (ばんのう): all-purpose, utility, universal<br>万人 (ばんにん): all people, everybody",2,375
丈,丈,丈,1,AAA,ジョウ,"たけ, だけ","とも, ますら","length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely","大丈夫 (だいじょうぶ): safe, secure, sound, problem-free, without fear, all right, alright, OK, okay<br>丈夫 (じょうぶ): healthy, robust, strong, solid, durable<br>丈 (たけ): height, stature<br>頑丈 (がんじょう): solid, firm, stout, burly, strong, sturdy",8,1375
三,三,三,1,AAA,"サン, ゾウ","み, み·つ, みっ·つ","か, さ, さい, さえ, さぶ, ざ, ざえ, ざぶ, そう, ぞ, ただ, みつ, みん, も, や",three,"三 (さん): three<br>三つ (みっつ): three<br>再三 (さいさん): again and again, repeatedly<br>三角 (さんかく): triangle, triangular shape<br>三日月 (みかづき): new moon, crescent moon",1,14
上,上,上,1,AAA,"ジョウ, ショウ, シャン","うえ, 〜うえ, うわ〜, かみ, あ·げる, 〜あ·げる, あ·がる, 〜あ·がる, あ·がり, 〜あ·がり, のぼ·る, のぼ·り, のぼ·せる, のぼ·す, たてまつ·る","あおい, あげ, い, か, かき, かず, かん, こう, のぼり, ほつ","above, up","上手 (じょうず): skillful, skilled, proficient, good (at), adept, clever<br>上着 (うわぎ): coat, tunic, jacket, outer garment<br>上げる (あげる): to raise, to elevate<br>屋上 (おくじょう): rooftop<br>以上 (いじょう): not less than, ... and more, ... and upwards",1,35
下,下,下,1,AAA,"カ, ゲ","した, しも, もと, さ·げる, さ·がる, くだ·る, くだ·り, くだ·す, 〜くだ·す, くだ·さる, お·ろす, お·りる","さか, しと","below, down, descend, give, low, inferior","地下鉄 (ちかてつ): underground train, subway<br>廊下 (ろうか): corridor, hallway, passageway<br>下さい (ください): please (give me)<br>下手 (へた): unskillful, poor, awkward<br>靴下 (くつした): socks, sock, stockings, stocking",1,97
不,不,不,1,AAA,"フ, ブ",,,"negative, non-, bad, ugly, clumsy","不便 (ふべん): inconvenience, inexpediency, unhandiness<br>不安 (ふあん): anxiety, uneasiness, worry, apprehension, fear, insecurity, suspense<br>不足 (ふそく): insufficiency, deficiency, shortage, lack, scarcity, deficit<br>不満 (ふまん): dissatisfaction, discontent, displeasure, complaint, unhappiness<br>不正 (ふせい): injustice, unfairness, wrongdoing, iniquity, impropriety, irregularity, dishonesty, illegality, fraud",4,101
与,與,与,3,ABA,ヨ,"あた·える, あずか·る, くみ·する, ともに","とも, ゆ","bestow, participate in, give, award, impart, provide, cause, gift, godsend","与える (あたえる): to give (esp. to someone of lower status), to bestow, to grant, to confer, to present, to award<br>給与 (きゅうよ): pay, salary, wages<br>与党 (よとう): ruling party, government party, party in power, government<br>関与 (かんよ): participation, taking part in, participating in, being concerned in<br>寄与 (きよ): contribution, service",8,308
且,且,且,1,AAA,"ショ, ソ, ショウ",か·つ,"あき, かつ","moreover, also, furthermore",,8,
世,世,世,1,AAA,"セイ, セ, ソウ",よ,"とし, ゆ, ゆき","generation, world, society, public","世界 (せかい): the world, society, the universe<br>世話 (せわ): looking after, help, aid, assistance<br>世紀 (せいき): century<br>世間 (せけん): world, society, people, the public<br>世の中 (よのなか): society, the world, the times",3,135
丘,丘,丘,1,AAA,キュウ,おか,たかし,"hill, knoll","丘 (おか): hill, height, knoll, rising ground<br>丘陵 (きゅうりょう): hill",8,1405
丙,丙,丙,1,AAA,ヘイ,ひのえ,,"third class, 3rd, 3rd calendar sign",,8,
両,兩,两,5,ABC,リョウ,"てる, ふたつ",もろ,"both, old Japanese coin, counter for carriages (e.g., in a train), two","両親 (りょうしん): parents, both parents<br>両方 (りょうほう): both, both sides, both parties<br>両替 (りょうがえ): change, money exchange<br>両側 (りょうがわ): both sides<br>両立 (りょうりつ): compatibility, coexistence, standing together",3,247
並,並,並,1,AAA,"ヘイ, ホウ","な·み, なみ, なら·べる, なら·ぶ, なら·びに",なび,"row, and, besides, as well as, line up, rank with, rival, equal","並ぶ (ならぶ): to line up, to stand in a line<br>並木 (なみき): roadside tree, row of trees<br>並行 (へいこう): going side-by-side, going abreast<br>並 (なみ): average, medium, common, ordinary<br>並びに (ならびに): and (also), both ... and, as well as",6,599
中,中,中,1,AAA,チュウ,"なか, うち, あた·る","あたる, かなえ","in, inside, middle, mean, center","途中 (とちゅう): on the way, en route, halfway<br>中学校 (ちゅうがっこう): junior high school, middle school, lower secondary school<br>背中 (せなか): back (of body)<br>真ん中 (まんなか): middle, centre, center, midpoint, heart<br>中心 (ちゅうしん): center, centre, middle, heart, core, focus, pivot, emphasis, balance",1,11
丸,丸,丸,1,AAA,ガン,"まる, まる·める, まる·い","ま, わ, わに","round, full (month), perfection, -ship, pills, make round, roll up, curl up, seduce, explain away","丸い (まるい): round, circular, spherical<br>日の丸 (ひのまる): outline of the Sun (esp. represented as a red circle)<br>丸ごと (まるごと): in its entirety, whole, wholly<br>丸々 (まるまる): plump, rotund, chubby<br>丸める (まるめる): to make round, to roll up, to curl up",2,542
丹,丹,丹,1,AAA,タン,に,"た, たみ, まこと","rust-colored, red, red lead, pills, sincerity",,8,1402
主,主,主,1,AAA,"シュ, ス, シュウ","ぬし, おも, あるじ","かず, ず, もん","lord, chief, master, main thing, principal","主義 (しゅぎ): doctrine, rule, principle, -ism<br>主張 (しゅちょう): claim, insistence, assertion, advocacy, emphasis, contention, opinion, tenet<br>主婦 (しゅふ): housewife, mistress (of the house), homemaker<br>主要 (しゅよう): chief, main, principal, major<br>主に (おもに): mainly, primarily",3,95
久,久,久,1,AAA,"キュウ, ク",ひさ·しい,"きゅ, わ, なが, ひさ, ひさし","long time, old story","久しぶり (ひさしぶり): a long time (since the last time), first in a long time<br>永久 (えいきゅう): eternity, permanence, perpetuity<br>久しい (ひさしい): long (time that has passed), old (story)",5,688
乏,乏,乏,1,AAA,ボウ,"とぼ·しい, とも·しい",,"destitution, scarce, limited","貧乏 (びんぼう): poverty-stricken, destitute, poor, penurious<br>欠乏 (けつぼう): want, shortage, famine<br>乏しい (とぼしい): meagre, meager, scarce, limited, destitute, hard up, lacking, scanty, poor<br>窮乏 (きゅうぼう): poverty, destitution, privation, indigence, penury",8,1646
乗,乘,乘,4,ABB,"ジョウ, ショウ","の·る, 〜の·り, の·せる",のり,"ride, power, multiplication, record, counter for vehicles, board, mount, join","乗る (のる): to get on (train, plane, bus, ship, etc.), to get in, to board, to take, to embark<br>乗り物 (のりもの): vehicle, conveyance, transport<br>乗り換える (のりかえる): to transfer (trains), to change (bus, train)<br>乗客 (じょうきゃく): passenger<br>乗せる (のせる): to place on (something)",3,377
乙,乙,乙,1,AAA,"オツ, イツ","おと〜, きのと",,"the latter, duplicate, strange, witty, fishhook radical (no. 5)","乙 (おつ): second (party to an agreement), the B party (e.g. in a contract), the latter, defendant",8,1841
九,九,九,1,AAA,"キュウ, ク","ここの, ここの·つ","いちじく, いちのく, この, ひさし",nine,九 (きゅう): nine<br>九つ (ここのつ): nine,1,55
乱,亂,乱,3,ABA,"ラン, ロン","みだ·れる, みだ·る, みだ·す, みだ, おさ·める, わた·る",ら,"riot, war, disorder, disturb","混乱 (こんらん): disorder, chaos, confusion, mayhem<br>乱暴 (らんぼう): violence, assault, running riot<br>反乱 (はんらん): insurrection, mutiny, rebellion, revolt, uprising<br>乱用 (らんよう): abuse, misuse, misappropriation, using to excess<br>乱れる (みだれる): to be disordered, to be disarranged, to be disarrayed, to be disheveled, to be dishevelled",6,755
乳,乳,乳,1,AAA,ニュウ,"ちち, ち",,"milk, breasts",牛乳 (ぎゅうにゅう): (cow's) milk<br>乳 (ちち): milk,6,1289
乾,乾,干,2,AAB,"カン, ケン","かわ·く, かわ·かす, ほ·す, ひ·る, いぬい",,"drought, dry, dessicate, drink up, heaven, emperor","乾燥 (かんそう): dryness, aridity, drying (e.g. clothes), dehydration, desiccation<br>乾電池 (かんでんち): dry cell, battery<br>乾杯 (かんぱい): cheers, bottoms-up, prosit<br>乾かす (かわかす): to dry (clothes, etc.), to desiccate",8,1453
了,了,了,1,AAA,リョウ,,さとる,"complete, finish","完了 (かんりょう): completion, conclusion<br>終了 (しゅうりょう): end, close, termination<br>了承 (りょうしょう): acknowledgement, acknowledgment, understanding (e.g. ""please be understanding of the mess during our renovation""), noting, acceptance<br>了解 (りょうかい): comprehension, consent, understanding, agreement<br>修了 (しゅうりょう): completion (of a course)",8,792
予,予,予,1,AAA,"ヨ, シャ",あらかじ·め,,"beforehand, previous, myself, I","予定 (よてい): plans, arrangement, schedule, program, programme, expectation, estimate<br>予約 (よやく): reservation, appointment, booking, advance order<br>予習 (よしゅう): preparation for a lesson<br>予算 (よさん): estimate, budget<br>予測 (よそく): prediction, estimation",3,180
争,爭,争,3,ABA,ソウ,"あらそ·う, いか·でか",,"contend, dispute, argue","戦争 (せんそう): war<br>競争 (きょうそう): competition, contest, rivalry, race<br>論争 (ろんそう): dispute, controversy<br>争う (あらそう): to compete, to contest, to contend<br>紛争 (ふんそう): dispute, conflict, trouble, strife",4,271
事,事,事,1,AAA,"ジ, ズ","こと, つか·う, つか·える",ろ,"matter, thing, fact, business, reason, possibly","仕事 (しごと): work, job, labor, labour, business, task, assignment, occupation, employment<br>事故 (じこ): accident, incident, trouble<br>事務所 (じむしょ): office<br>食事 (しょくじ): meal, dinner<br>事 (こと): thing, matter",3,18
二,二,二,1,AAA,"ニ, ジ","ふた, ふた·つ, ふたたび","おと, つぐ, つぎ, にい, は, ふ, ふたつ, ふだ, わ","two, two radical (no. 7)","二 (に): two<br>二人 (ふたり): two persons, two people, pair, couple<br>二つ (ふたつ): two<br>二階建て (にかいだて): two-storied building<br>真っ二つ (まっぷたつ): in two equal parts",1,9
互,互,互,1,AAA,ゴ,"たが·い, かたみ·に",,"mutually, reciprocally, together","互い (たがい): each other, one another<br>相互 (そうご): mutual, reciprocal<br>交互 (こうご): alternate, alternating, mutual, reciprocal",8,914
五,五,五,1,AAA,ゴ,"いつ, いつ·つ","い, さ, さつ, ち, ふ, み, め",five,"五 (ご): five<br>五つ (いつつ): five<br>五十音 (ごじゅうおん): the Japanese syllabary<br>四捨五入 (ししゃごにゅう): rounding (fractions), rounding half up",1,31
井,井,井,1,AAA,"セイ, ショウ",い,"いの, さい, ひ","well, well crib, town, community",井戸 (いど): water well<br>天井 (てんじょう): ceiling,4,339
亜,亞,亚,5,ABC,ア,つ·ぐ,"や, つぎ, つぐ","Asia, rank next, come after, -ous",亜細亜 (アジア): Asia,8,1509
亡,亡,亡,1,AAA,"ボウ, モウ","な·い, な·き〜, ほろ·びる, ほろ·ぶ, ほろ·ぼす",,"deceased, the late, dying, perish","死亡 (しぼう): death, mortality<br>逃亡 (とうぼう): escape, flight, running away, elopement, fleeing<br>滅亡 (めつぼう): downfall, ruin, collapse, destruction",6,661
交,交,交,1,AAA,コウ,"まじ·わる, まじ·える, ま·じる, まじ·る, ま·ざる, ま·ぜる, 〜か·う, か·わす, かわ·す, こもごも",かた,"mingle, mixing, association, coming, &, going","交差点 (こうさてん): crossing, intersection<br>交番 (こうばん): police box, small neighborhood police station<br>交通 (こうつう): traffic, transportation, communication, exchange (of ideas, etc.), intercourse<br>外交 (がいこう): diplomacy<br>交換 (こうかん): exchange, interchange, switching, reciprocity, barter, substitution, replacement, clearing (of checks, cheques)",2,178
享,享,享,1,AAA,"キョウ, コウ",う·ける,"たか, たかし, とおる, みち","enjoy, receive, undergo, answer (phone), take, get, catch","享受 (きょうじゅ): reception, acceptance, enjoyment, being given",8,1893
京,京,京,1,AAA,"キョウ, ケイ, キン",みやこ,たか,"capital, 10**16",帰京 (ききょう): returning to (one's home in) Tokyo,2,74
亭,亭,亭,1,AAA,"テイ, チン",,,"pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name",,8,1627
人,人,人,1,AAA,"ジン, ニン","ひと, 〜り, 〜と","じ, と, ね, ひこ, ふみ",person,"二人 (ふたり): two persons, two people, pair, couple<br>外国人 (がいこくじん): foreigner, foreign citizen, foreign national, alien, non-Japanese<br>一人 (ひとり): one person<br>大人 (おとな): adult, grown-up<br>人口 (じんこう): population",1,5
仁,仁,仁,1,AAA,"ジン, ニ, ニン",,"きみ, く, さと, しのぶ, じ, と, のり, ひと, ひとし, ひろ, まさ, まさし, やす, よし","humanity, virtue, benevolence, charity, man, kernel",,6,1332
今,今,今,1,AAA,"コン, キン",いま,な,now,"今月 (こんげつ): this month<br>今年 (ことし): this year<br>今日 (きょう): today, this day<br>今週 (こんしゅう): this week<br>今 (いま): now, the present time, just now, soon, immediately",2,49
介,介,介,1,AAA,カイ,,"すけ, ゆき","jammed in, shellfish, mediate, concern oneself with","紹介 (しょうかい): introduction, presentation, referral, listing<br>厄介 (やっかい): trouble, burden, nuisance, bother, worry<br>介入 (かいにゅう): intervention<br>介護 (かいご): nursing, care, caregiving, caring",8,617
仏,佛,佛,4,ABB,"ブツ, フツ",ほとけ,,"Buddha, the dead, France","仏像 (ぶつぞう): statue of Buddha, image of Buddha, Buddhist statue, Buddhist image",5,819
仕,仕,仕,1,AAA,"シ, ジ",つか·える,,"attend, doing, official, serve","仕事 (しごと): work, job, labor, labour, business, task, assignment, occupation, employment<br>仕方 (しかた): way, method, means, resource, course<br>仕方がない (しかたがない): there's no (other) way<br>仕上がる (しあがる): to be finished, to be completed, to be done<br>仕組み (しくみ): structure, construction, arrangement, contrivance, mechanism, workings",3,439
他,他,他,1,AAA,タ,ほか,,"other, another, the others","他 (た): other (esp. people and abstract matters)<br>他人 (たにん): another person, other people, others<br>他方 (たほう): one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party",3,543
