一,一,一,1,AAA,"{""Reading"":{""On'yomi"":[""イチ"",""イツ""],""Kun'yomi"":[""ひと〜"",""ひと·つ""],""Nanori"":[""かず"",""い"",""いっ"",""いる"",""かつ"",""かづ"",""てん"",""はじめ"",""ひ"",""ひとつ"",""まこと""]},""Meaning"":""one, one radical (no.1)"",""Compounds"":[{""compound"":""一つ"",""reading"":"" ひとつ"",""meaning"":""one""},{""compound"":""一番"",""reading"":"" いちばん"",""meaning"":""number one, first, first place""},{""compound"":""一緒"",""reading"":"" いっしょ"",""meaning"":""together""},{""compound"":""一人"",""reading"":"" ひとり"",""meaning"":""one person""},{""compound"":""一昨年"",""reading"":"" おととし"",""meaning"":""year before last""}],""Miscellaneous"":[""Number of strokes: 1"",""Taught in grade 1"",""Frequency: 2""]}"
丁,丁,丁,1,AAA,"{""Reading"":{""On'yomi"":[""チョウ"",""テイ"",""チン"",""トウ"",""チ""],""Kun'yomi"":[""ひのと""]},""Meaning"":""street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign"",""Compounds"":[{""compound"":""丁寧"",""reading"":"" ていねい"",""meaning"":""polite, courteous, civil""},{""compound"":""包丁"",""reading"":"" ほうちょう"",""meaning"":""kitchen knife, carving knife""},{""compound"":""丁目"",""reading"":"" ちょうめ"",""meaning"":""district of a town, city block (of irregular size)""}],""Miscellaneous"":[""Number of strokes: 2"",""Taught in grade 3"",""Frequency: 1312""]}"
七,七,七,1,AAA,"{""Reading"":{""On'yomi"":[""シチ""],""Kun'yomi"":[""なな"",""なな·つ"",""なの""],""Nanori"":[""し"",""しっ"",""な"",""ひち""]},""Meaning"":""seven"",""Compounds"":[{""compound"":""七"",""reading"":"" しち"",""meaning"":""seven""},{""compound"":""七つ"",""reading"":"" ななつ"",""meaning"":""seven""}],""Miscellaneous"":[""Number of strokes: 2"",""Taught in grade 1"",""Frequency: 115""]}"
万,萬,万,3,ABA,"{""Reading"":{""On'yomi"":[""マン"",""バン""],""Kun'yomi"":[""よろず""],""Nanori"":[""かず"",""ま"",""ゆる""]},""Meaning"":""ten thousand, 10,000"",""Compounds"":[{""compound"":""万年筆"",""reading"":"" まんねんひつ"",""meaning"":""fountain pen""},{""compound"":""万一"",""reading"":"" まんいち"",""meaning"":""emergency, unlikely event""},{""compound"":""万歳"",""reading"":"" ばんざい"",""meaning"":""crying \""banzai\"" (or raising one's hands in the banzai gesture)""},{""compound"":""万能"",""reading"":"" ばんのう"",""meaning"":""all-purpose, utility, universal""},{""compound"":""万人"",""reading"":"" ばんにん"",""meaning"":""all people, everybody""}],""Miscellaneous"":[""Number of strokes: 3"",""Taught in grade 2"",""Frequency: 375""]}"
丈,丈,丈,1,AAA,"{""Reading"":{""On'yomi"":[""ジョウ""],""Kun'yomi"":[""たけ"",""だけ""],""Nanori"":[""とも"",""ますら""]},""Meaning"":""length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely"",""Compounds"":[{""compound"":""大丈夫"",""reading"":"" だいじょうぶ"",""meaning"":""safe, secure, sound, problem-free, without fear, all right, alright, OK, okay""},{""compound"":""丈夫"",""reading"":"" じょうぶ"",""meaning"":""healthy, robust, strong, solid, durable""},{""compound"":""丈"",""reading"":"" たけ"",""meaning"":""height, stature""},{""compound"":""頑丈"",""reading"":"" がんじょう"",""meaning"":""solid, firm, stout, burly, strong, sturdy""}],""Miscellaneous"":[""Number of strokes: 3"",""Taught in grade 8"",""Frequency: 1375""]}"
三,三,三,1,AAA,"{""Reading"":{""On'yomi"":[""サン"",""ゾウ""],""Kun'yomi"":[""み"",""み·つ"",""みっ·つ""],""Nanori"":[""か"",""さ"",""さい"",""さえ"",""さぶ"",""ざ"",""ざえ"",""ざぶ"",""そう"",""ぞ"",""ただ"",""みつ"",""みん"",""も"",""や""]},""Meaning"":""three"",""Compounds"":[{""compound"":""三"",""reading"":"" さん"",""meaning"":""three""},{""compound"":""三つ"",""reading"":"" みっつ"",""meaning"":""three""},{""compound"":""再三"",""reading"":"" さいさん"",""meaning"":""again and again, repeatedly""},{""compound"":""三角"",""reading"":"" さんかく"",""meaning"":""triangle, triangular shape""},{""compound"":""三日月"",""reading"":"" みかづき"",""meaning"":""new moon, crescent moon""}],""Miscellaneous"":[""Number of strokes: 3"",""Taught in grade 1"",""Frequency: 14""]}"
上,上,上,1,AAA,"{""Reading"":{""On'yomi"":[""ジョウ"",""ショウ"",""シャン""],""Kun'yomi"":[""うえ"",""〜うえ"",""うわ〜"",""かみ"",""あ·げる"",""〜あ·げる"",""あ·がる"",""〜あ·がる"",""あ·がり"",""〜あ·がり"",""のぼ·る"",""のぼ·り"",""のぼ·せる"",""のぼ·す"",""たてまつ·る""],""Nanori"":[""あおい"",""あげ"",""い"",""か"",""かき"",""かず"",""かん"",""こう"",""のぼり"",""ほつ""]},""Meaning"":""above, up"",""Compounds"":[{""compound"":""上手"",""reading"":"" じょうず"",""meaning"":""skillful, skilled, proficient, good (at), adept, clever""},{""compound"":""上着"",""reading"":"" うわぎ"",""meaning"":""coat, tunic, jacket, outer garment""},{""compound"":""上げる"",""reading"":"" あげる"",""meaning"":""to raise, to elevate""},{""compound"":""屋上"",""reading"":"" おくじょう"",""meaning"":""rooftop""},{""compound"":""以上"",""reading"":"" いじょう"",""meaning"":""not less than, ... and more, ... and upwards""}],""Miscellaneous"":[""Number of strokes: 3"",""Taught in grade 1"",""Frequency: 35""]}"
下,下,下,1,AAA,"{""Reading"":{""On'yomi"":[""カ"",""ゲ""],""Kun'yomi"":[""した"",""しも"",""もと"",""さ·げる"",""さ·がる"",""くだ·る"",""くだ·り"",""くだ·す"",""〜くだ·す"",""くだ·さる"",""お·ろす"",""お·りる""],""Nanori"":[""さか"",""しと""]},""Meaning"":""below, down, descend, give, low, inferior"",""Compounds"":[{""compound"":""地下鉄"",""reading"":"" ちかてつ"",""meaning"":""underground train, subway""},{""compound"":""廊下"",""reading"":"" ろうか"",""meaning"":""corridor, hallway, passageway""},{""compound"":""下さい"",""reading"":"" ください"",""meaning"":""please (give me)""},{""compound"":""下手"",""reading"":"" へた"",""meaning"":""unskillful, poor, awkward""},{""compound"":""靴下"",""reading"":"" くつした"",""meaning"":""socks, sock, stockings, stocking""}],""Miscellaneous"":[""Number of strokes: 3"",""Taught in grade 1"",""Frequency: 97""]}"
不,不,不,1,AAA,"{""Reading"":{""On'yomi"":[""フ"",""ブ""]},""Meaning"":""negative, non-, bad, ugly, clumsy"",""Compounds"":[{""compound"":""不便"",""reading"":"" ふべん"",""meaning"":""inconvenience, inexpediency, unhandiness""},{""compound"":""不安"",""reading"":"" ふあん"",""meaning"":""anxiety, uneasiness, worry, apprehension, fear, insecurity, suspense""},{""compound"":""不足"",""reading"":"" ふそく"",""meaning"":""insufficiency, deficiency, shortage, lack, scarcity, deficit""},{""compound"":""不満"",""reading"":"" ふまん"",""meaning"":""dissatisfaction, discontent, displeasure, complaint, unhappiness""},{""compound"":""不正"",""reading"":"" ふせい"",""meaning"":""injustice, unfairness, wrongdoing, iniquity, impropriety, irregularity, dishonesty, illegality, fraud""}],""Miscellaneous"":[""Number of strokes: 4"",""Taught in grade 4"",""Frequency: 101""]}"
与,與,与,3,ABA,"{""Reading"":{""On'yomi"":[""ヨ""],""Kun'yomi"":[""あた·える"",""あずか·る"",""くみ·する"",""ともに""],""Nanori"":[""とも"",""ゆ""]},""Meaning"":""bestow, participate in, give, award, impart, provide, cause, gift, godsend"",""Compounds"":[{""compound"":""与える"",""reading"":"" あたえる"",""meaning"":""to give (esp. to someone of lower status), to bestow, to grant, to confer, to present, to award""},{""compound"":""給与"",""reading"":"" きゅうよ"",""meaning"":""pay, salary, wages""},{""compound"":""与党"",""reading"":"" よとう"",""meaning"":""ruling party, government party, party in power, government""},{""compound"":""関与"",""reading"":"" かんよ"",""meaning"":""participation, taking part in, participating in, being concerned in""},{""compound"":""寄与"",""reading"":"" きよ"",""meaning"":""contribution, service""}],""Miscellaneous"":[""Number of strokes: 3"",""Taught in grade 8"",""Frequency: 308""]}"
